Year,Fuel,Consumption,Sector
2000,Manufactured fuel,0,Commercial
2001,Manufactured fuel,0,Commercial
2002,Manufactured fuel,0,Commercial
2003,Manufactured fuel,0,Commercial
2004,Manufactured fuel,0,Commercial
2005,Manufactured fuel,0,Commercial
2006,Manufactured fuel,0,Commercial
2007,Manufactured fuel,0,Commercial
2008,Manufactured fuel,0,Commercial
2009,Manufactured fuel,0,Commercial
2010,Manufactured fuel,0,Commercial
2011,Manufactured fuel,0,Commercial
2012,Manufactured fuel,0,Commercial
2013,Manufactured fuel,0,Commercial
2014,Manufactured fuel,0,Commercial
2015,Manufactured fuel,0,Commercial
2016,Manufactured fuel,0,Commercial
2017,Manufactured fuel,0,Commercial
2018,Manufactured fuel,0,Commercial
2019,Manufactured fuel,0,Commercial
2020,Manufactured fuel,0,Commercial
2000,Manufactured fuel,0,Agriculture
2000,Heat,0,Agriculture
2001,Manufactured fuel,0,Agriculture
2002,Manufactured fuel,0,Agriculture
2002,Heat,0,Agriculture
2003,Manufactured fuel,0,Agriculture
2003,Heat,0,Agriculture
2004,Manufactured fuel,0,Agriculture
2004,Heat,0,Agriculture
2005,Manufactured fuel,0,Agriculture
2005,Heat,0,Agriculture
2006,Manufactured fuel,0,Agriculture
2006,Heat,0,Agriculture
2007,Manufactured fuel,0,Agriculture
2007,Heat,0,Agriculture
2008,Manufactured fuel,0,Agriculture
2008,Heat,0,Agriculture
2009,Coal,0,Agriculture
2009,Manufactured fuel,0,Agriculture
2009,Heat,0,Agriculture
2010,Manufactured fuel,0,Agriculture
2010,Heat,0,Agriculture
2011,Manufactured fuel,0,Agriculture
2011,Heat,0,Agriculture
2012,Manufactured fuel,0,Agriculture
2012,Heat,0,Agriculture
2013,Coal,0,Agriculture
2013,Manufactured fuel,0,Agriculture
2013,Heat,0,Agriculture
2014,Coal,0,Agriculture
2014,Manufactured fuel,0,Agriculture
2014,Heat,0,Agriculture
2015,Coal,0,Agriculture
2015,Manufactured fuel,0,Agriculture
2015,Heat,0,Agriculture
2016,Coal,0,Agriculture
2016,Manufactured fuel,0,Agriculture
2016,Heat,0,Agriculture
2017,Coal,0,Agriculture
2017,Manufactured fuel,0,Agriculture
2017,Heat,0,Agriculture
2018,Coal,0,Agriculture
2018,Manufactured fuel,0,Agriculture
2019,Coal,0,Agriculture
2019,Manufactured fuel,0,Agriculture
2020,Coal,0,Agriculture
2020,Manufactured fuel,0,Agriculture
2000,Manufactured fuel,0,Public Administration
2001,Manufactured fuel,0,Public Administration
2002,Manufactured fuel,0,Public Administration
2003,Manufactured fuel,0,Public Administration
2004,Manufactured fuel,0,Public Administration
2005,Manufactured fuel,0,Public Administration
2006,Manufactured fuel,0,Public Administration
2007,Manufactured fuel,0,Public Administration
2008,Manufactured fuel,0,Public Administration
2009,Manufactured fuel,0,Public Administration
2010,Manufactured fuel,0,Public Administration
2011,Manufactured fuel,0,Public Administration
2012,Manufactured fuel,0,Public Administration
2013,Manufactured fuel,0,Public Administration
2014,Manufactured fuel,0,Public Administration
2015,Manufactured fuel,0,Public Administration
2016,Manufactured fuel,0,Public Administration
2017,Manufactured fuel,0,Public Administration
2018,Manufactured fuel,0,Public Administration
2019,Manufactured fuel,0,Public Administration
2020,Manufactured fuel,0,Public Administration
2015,Manufactured fuel,0,Industry
2016,Manufactured fuel,0,Industry
2017,Manufactured fuel,0,Industry
2018,Manufactured fuel,0,Industry
2019,Manufactured fuel,0,Industry
2020,Manufactured fuel,0,Industry
2000,Coal,0,Transport
2001,Coal,0,Transport
2002,Coal,0,Transport
2003,Coal,0,Transport
2004,Coal,0,Transport
2016,Manufactured fuel,0,Transport
2017,Manufactured fuel,0,Transport
2018,Manufactured fuel,0,Transport
2019,Manufactured fuel,0,Transport
2020,Manufactured fuel,0,Transport
2017,Manufactured fuel,0,Domestic
2019,Manufactured fuel,0,Domestic
2020,Manufactured fuel,0,Domestic
2000,Electricity,741.44454,Transport
2000,Petroleum,54719.67235,Transport
2001,Electricity,759.0713672,Transport
2001,Petroleum,54378.21008,Transport
2002,Electricity,726.9374211,Transport
2002,Petroleum,54957.90848,Transport
2003,Electricity,706.1405645,Transport
